Gene	sgRNAs included	KBM7 CS	KBM7 adjusted p-value	K562 CS	K562 adjusted p-value	Jiyoye CS	Jiyoye adjusted p-value	Raji CS	Raji adjusted p-value
NOMO3	10	-0.363	0.500429931	-0.499	0.823087489	-0.102	0.985588591	0.236	0.353825943
NONO	9	-0.736	0.165843315	-1.166	0.133721461	-0.729	0.165828683	-0.102	0.624194206
NOP10	10	-1.605	0.07613653	-2.238	0.01064499	-1.617	0.030441516	-1.054	0.007566089
NOP14	9	-1.411	0.005746671	-0.930	0.138699717	-1.016	0.007584709	-1.582	0.117799632
NOP16	7	-1.875	0.001957788	-2.895	0.002807289	-1.794	0.001041815	-1.855	0.001166702
NOP2	9	-1.927	0.002136958	-3.374	0.001121005	-2.082	0.000605008	-1.159	0.008118482
NOP56	9	-1.533	0.01809697	-2.615	0.026006094	-1.099	0.008960849	-1.249	0.055069959
NOP58	10	-2.441	3.40E-05	-3.629	4.04E-05	-2.598	0.000148056	-1.493	0.001580632
NOP9	10	-1.905	0.037532037	-1.167	0.003740427	-1.435	0.000130824	-1.236	0.002880643
NOS1	9	-0.499	0.989177719	-1.174	0.390029527	-0.858	0.882529165	-0.501	0.7325033
NOS1AP	10	0.349	0.024877983	0.493	0.199042863	0.095	0.590813861	0.432	0.024292803
NOS2	10	-0.301	0.67468999	0.124	0.330787512	-0.014	0.945079317	0.081	0.792735426
NOS3	10	-0.086	0.724546402	-0.737	0.323854295	0.012	0.821449737	-0.170	0.905951024
NOSIP	9	-1.018	0.017454097	-0.939	0.075133222	-0.439	0.59422353	-0.828	0.00121316
NOSTRIN	10	0.047	0.510502329	-0.655	0.295020967	0.144	0.453726062	-0.195	0.927264662
NOTCH1	9	-0.076	0.954785631	0.023	0.841056828	0.261	0.411644776	0.387	0.505654877
NOTCH2	10	-0.625	0.925633435	-1.487	0.25358703	-0.419	0.952087469	-0.321	0.894148571
NOTCH2NL	9	-1.675	0.002067887	-1.859	0.002316	-1.142	0.007633721	-0.689	0.41246731
NOTCH3	9	-0.054	0.541337102	-0.044	0.677425998	0.094	0.757522961	-0.232	0.962115758
NOTCH4	10	-0.488	0.857687847	-1.115	0.204197191	-0.464	0.990971919	-0.455	0.7647244
NOTO	7	0.011	0.771991069	-0.024	0.747974521	0.216	0.748947248	-0.199	0.456377519
NOTUM	10	-0.330	0.759821871	-0.730	0.577340392	-0.278	0.544449574	-0.678	0.022236394
NOV	10	0.088	0.452983994	0.086	0.792916598	0.157	0.72283542	-0.197	0.920242018
NOVA1	9	-0.174	0.948172413	0.203	0.483894011	0.115	0.773114292	0.046	0.7647244
NOVA2	10	-0.030	0.591953841	-0.631	0.226201897	-0.147	0.922371251	-0.156	0.605594551
NOX1	10	-0.019	0.585761762	0.346	0.174928883	0.218	0.832037777	0.363	0.20750098
NOX3	9	-0.355	0.262401926	-0.116	0.560254696	0.268	0.504249527	0.084	0.58807465
NOX4	10	0.252	0.066000758	0.414	0.172208304	0.272	0.458418488	0.152	0.421471607
NOX5	10	-0.536	0.628416232	-0.285	0.981200934	-0.051	0.875028338	-0.032	0.94513185
NOXA1	8	-0.749	0.258771965	-1.434	0.437045941	-0.909	0.53248813	-1.060	0.832056153
NOXO1	8	-0.237	0.53216764	-0.164	0.945861212	-0.085	0.999981366	-0.232	0.719593139
NOXRED1	9	-0.085	0.56608704	0.579	0.039158349	-0.032	0.834086856	0.145	0.570680984
NPAP1	9	-0.478	0.723178162	-0.660	0.47326897	-0.124	0.815603943	0.158	0.36005435
NPAS1	10	-0.360	0.454763994	-1.487	0.037905809	-0.206	0.534374317	-0.599	0.504099183
NPAS2	10	-0.085	0.841542991	-0.366	0.777478893	-0.093	0.909602084	0.005	0.697423798
NPAS3	10	0.195	0.214745392	-0.008	0.884164159	0.292	0.638722133	0.033	0.980859441
NPAS4	9	0.098	0.713894096	-0.621	0.268777967	0.021	0.82075003	-0.048	0.656381748
NPAT	10	-0.938	0.004324206	-2.039	0.000217406	-0.952	0.047061195	-0.628	0.08018881
NPB	9	0.088	0.586424783	0.244	0.278858678	0.040	0.72783146	0.156	0.393278599
NPBWR1	8	-0.700	0.277788575	-0.423	0.623908595	-0.444	0.990844273	-0.251	0.7325033
NPBWR2	9	-0.052	0.540439511	0.113	0.631906852	0.250	0.703885856	0.126	0.746307179
NPC1	10	-0.305	0.635851835	-0.597	0.898683342	-0.184	0.797979678	-0.159	0.998428942
NPC1L1	9	-0.237	0.907082733	-0.380	0.942525067	-0.126	0.867917697	-0.065	0.989043063
NPC2	10	0.129	0.639460585	0.458	0.229763761	0.144	0.744007964	0.003	0.971908354
NPDC1	8	-0.020	0.50663005	-0.471	0.357202621	-0.024	0.8977451	0.003	0.792735426
NPEPL1	8	0.004	0.717703076	-0.410	0.52169401	0.300	0.6727203	-0.025	0.999974701
NPEPPS	10	0.084	0.910010508	-1.019	0.016133628	-0.186	0.567427541	-0.141	0.956314818
NPFF	10	0.025	0.879418185	-0.594	0.250706545	-0.448	0.670856334	-0.560	0.68321471
NPFFR1	10	0.307	0.266047632	-0.135	0.934705609	0.184	0.531013746	0.200	0.436047524
NPFFR2	9	0.183	0.679001992	0.181	0.308645834	0.244	0.765288324	0.063	0.824227833
NPHP1	10	-0.247	0.592217459	-0.535	0.999690568	-0.127	0.990971919	-0.470	0.997037464
NPHP3	9	0.402	0.148164376	0.125	0.268009543	0.619	0.055780358	0.366	0.521476233
NPHP4	9	-0.348	0.553093317	-0.451	0.608824029	0.020	0.998626146	-0.083	0.999420829
NPHS1	10	-0.117	0.766057384	-1.221	0.658149186	0.115	0.671565126	-0.081	0.925353575
NPHS2	10	-0.137	0.706061508	-0.032	0.830699537	0.017	0.461198281	0.200	0.422554795
NPIPA1	5	-2.590	0.094064006	-2.848	0.047371797	-3.133	0.220201692	-2.109	0.211159776
NPIPA2	5	-0.400	0.940064867	-0.059	0.950274356	-0.135	0.997197515	-0.004	0.990867592
NPIPA3	6	-1.333	0.622221274	-0.320	0.962270183	-1.295	0.881484469	-0.509	0.924785347
NPIPA5	5	-0.188	0.81507193	-2.275	0.268009543	-1.271	0.303274939	-0.527	0.989043063
NPIPB5	10	-2.330	0.005803997	-2.661	0.012259441	-2.858	0.00264841	-2.174	0.00065781
NPL	10	0.205	0.251255998	0.283	0.295020967	0.110	0.775130688	0.049	0.825898737
NPLOC4	10	-1.854	0.007715253	-1.887	0.098673457	-2.274	0.000106931	-2.684	0.000125574
NPM1	9	-0.776	0.86451399	-0.940	0.859376466	-0.783	0.711972057	-0.668	0.371404489
NPM2	9	-0.569	0.205872685	-0.734	0.755251988	-0.126	0.72894081	-0.240	0.96119109
NPM3	10	-0.462	0.926744253	-0.621	0.85791944	-0.416	0.866130247	-0.347	0.999974701
NPNT	10	0.203	0.426049069	-0.122	0.534268363	-0.072	0.912345325	0.036	0.940135654
NPPA	10	-0.197	0.886164036	-0.363	0.990416282	0.089	0.857839322	-0.177	0.899840962
NPPB	10	-0.089	0.930477026	-0.631	0.909109787	0.223	0.6941942	-0.460	0.818698967
NPPC	10	0.239	0.303400003	0.120	0.204605533	0.549	0.047189771	0.397	0.339789761
NPR1	8	-0.573	0.724376548	-1.654	0.586952674	-0.578	0.317800688	-0.741	0.470063986
NPR2	10	-0.016	0.882663223	-0.194	0.570804887	0.037	0.704844685	-0.163	0.960043773
NPR3	9	0.056	0.45686858	0.104	0.506906632	0.269	0.379073353	0.337	0.105300886
NPRL2	9	0.677	0.010856355	1.126	0.001875182	0.383	0.20644562	0.580	0.130249632
NPS	10	0.653	0.000310373	0.542	0.008668615	0.090	0.828827272	0.133	0.586668898
NPSR1	9	0.197	0.383605934	0.352	0.176755509	0.356	0.040515936	-0.003	0.985558732
NPTN	9	-0.431	0.146157141	0.290	0.428654573	0.138	0.440626037	-0.233	0.840771801
NPTX1	8	0.199	0.439214092	0.148	0.412993454	-0.018	0.945907398	0.261	0.678722786
NPTX2	9	0.180	0.528577147	0.404	0.108425785	0.034	0.893877506	0.435	0.043115127
NPTXR	7	-0.019	0.592001374	-0.740	0.998714503	-0.342	0.497682562	-0.416	0.400570238
NPVF	10	0.126	0.754414473	0.312	0.402104266	0.136	0.534402448	0.386	0.163671455
NPW	9	0.206	0.355690975	-0.007	0.470461281	0.357	0.440626037	0.123	0.762006458
NPY	9	0.293	0.1682586	0.376	0.324378925	0.232	0.093883809	0.086	0.538639756
NPY1R	10	0.288	0.149941026	0.554	0.017840036	0.075	0.648862432	0.203	0.710166816
NPY2R	9	0.197	0.430117589	0.312	0.163486062	0.501	0.228841042	0.396	0.216810395
NPY4R	10	-0.498	0.281448101	-1.262	0.008446974	-0.335	0.646896407	-0.176	0.890649447
NPY5R	10	0.003	0.683482623	0.381	0.065496499	0.324	0.010868912	0.275	0.114215286
NQO1	9	-0.321	0.636731059	-0.781	0.925125998	-0.350	0.990844273	-0.369	0.892127642
NQO2	10	0.128	0.499198434	-0.389	0.985518271	0.150	0.385226082	0.222	0.377710325
NR0B1	10	0.168	0.48344812	0.332	0.16423224	0.541	0.010442888	0.493	0.214235142
NR0B2	10	-0.174	0.62610522	-0.331	0.996880003	-0.094	0.988784832	-0.386	0.119525046
NR1D1	8	-0.804	0.140047349	-0.383	0.949897964	-0.584	0.84353469	-0.643	0.585475771
NR1D2	9	-0.078	0.879418185	0.032	0.908534344	-0.159	0.848159216	0.021	0.716617761
NR1H2	9	0.210	0.080042481	0.041	0.774410612	-0.036	0.903214873	-0.060	0.850510943
NR1H3	9	-0.171	0.611102329	-0.551	0.191945657	-0.077	0.93410015	-0.071	0.927544693
NR1H4	10	-0.166	0.998257253	0.213	0.458974841	0.213	0.469411957	0.121	0.536959249
NR1I2	9	0.218	0.20603438	0.216	0.306686276	0.035	0.826744867	0.203	0.786400397
NR1I3	10	-0.200	0.864161614	-1.193	0.608824029	-0.246	0.910326772	-0.275	0.847977662
NR2C1	10	0.391	0.033571025	-0.093	0.781176889	0.060	0.921062554	0.159	0.61828312
NR2C2	9	0.199	0.264184302	-0.457	0.50426769	-0.245	0.410140814	0.130	0.697423798
NR2C2AP	9	-1.523	0.001019044	-0.744	0.169146951	-0.487	0.342807462	-0.627	0.196936411
NR2E1	8	-0.081	0.153799745	-0.452	0.989146159	0.213	0.578163586	-0.509	0.737911252
NR2F1	10	-0.337	0.910874855	-0.453	0.99774556	-0.258	0.980992322	-0.010	0.91712323
NR2F2	9	0.243	0.138706351	0.610	0.020941736	0.336	0.247197921	0.187	0.704747195
NR2F6	9	-0.011	0.828772681	0.122	0.386919779	-0.190	0.827950367	-0.630	0.560515029
NR3C1	10	0.049	0.56359482	-0.026	0.973912972	0.136	0.872572276	-0.165	0.812954065
NR3C2	9	0.407	0.129226323	0.391	0.052482789	0.282	0.607298203	0.385	0.201743758
NR4A1	10	-0.173	0.81186424	-0.657	0.418982934	0.077	0.636328084	0.181	0.507451305
NR4A2	10	-0.670	0.780156981	-1.418	0.54828064	-0.545	0.905405097	-0.744	0.517051091
NR4A3	10	-0.090	0.823870216	-0.670	0.758349563	0.027	0.941531986	-0.115	0.94102669
NR5A1	9	0.147	0.836919361	-0.224	0.735235893	-0.216	0.907540134	-0.451	0.288706678
NR5A2	10	0.070	0.705964398	0.606	0.037950861	-0.117	0.663259909	0.055	0.992495587
NR6A1	10	-0.263	0.494089234	-0.035	0.795083477	0.019	0.920308823	-0.378	0.249549484
NRAP	10	-0.029	0.507011447	0.175	0.163147167	0.137	0.725679672	-0.011	0.695347856
NRARP	10	0.007	0.907082733	-0.109	0.962140934	0.191	0.746307298	0.037	0.879284029
NRAS	10	-0.144	0.855790401	-0.532	0.133109053	-0.186	0.783014783	-0.353	0.456255249
NRBF2	10	-0.349	0.5644706	-1.218	0.922245026	-0.121	0.589060296	-0.234	0.83294871
NRBP1	10	-1.007	0.070120902	-2.059	0.001707704	-0.972	0.001431903	-1.537	0.002098016
NRBP2	10	-0.490	0.022100437	-0.584	0.465871735	-0.781	0.044305987	-0.421	0.900502044
NRCAM	10	-0.079	0.565551883	-0.466	0.946839353	-0.095	0.886925601	-0.008	0.775427483
NRD1	10	-0.598	0.081049096	-0.701	0.131178123	0.281	0.321766679	0.048	0.940135654
NRDE2	9	-2.441	0.000214589	-2.814	0.000690193	-3.229	0.000177872	-2.276	0.000225739
NREP	9	0.127	0.202686106	0.064	0.488438783	0.330	0.475445246	0.453	0.129770495
NRF1	9	-1.744	0.042337462	-3.549	0.000187957	-1.076	0.427709732	-0.933	0.065510902
NRG1	10	0.130	0.360115151	0.330	0.196588171	0.188	0.171131524	0.098	0.388128175
NRG2	9	-0.454	0.768494961	-0.891	0.291215433	-0.343	0.774848814	-0.813	0.303890581
NRG3	9	0.316	0.168912058	-0.235	0.809282327	0.074	0.975744371	0.287	0.356777954
NRG4	10	-0.159	0.802653865	0.370	0.076367552	-0.034	0.70335018	0.205	0.85327415
NRGN	10	0.660	0.001485832	0.626	0.002642539	0.277	0.533632427	0.413	0.39086436
NRIP1	9	-0.172	0.983336701	0.046	0.894840031	0.042	0.872141555	0.078	0.881295729
NRIP2	10	-1.000	0.09306328	-0.730	0.56464319	-0.284	0.892873934	-0.866	0.518540184
NRIP3	8	0.047	0.608198469	0.423	0.259422098	-0.031	0.940492326	-0.086	0.99575135
NRL	9	0.230	0.503035375	-0.032	0.530150901	-0.010	0.746982367	-0.136	0.789856636
NRM	10	0.006	0.554932566	-0.309	0.745192084	-0.127	0.813697548	0.069	0.894148571
NRN1	10	0.405	0.035547368	0.331	0.042206161	0.141	0.773114292	0.107	0.792579534
NRN1L	8	-0.159	0.994821043	-0.531	0.797754093	-0.124	0.759730791	-0.215	0.697423798
NRP1	9	-0.206	0.817513174	-0.083	0.551187778	0.294	0.74447085	0.098	0.757667257
NRP2	8	-0.291	0.963510482	-0.687	0.691272708	-0.423	0.474336184	0.192	0.552755678
NRROS	10	-0.246	0.921361851	-0.198	0.711028353	-0.311	0.542336891	0.033	0.393164255
NRSN1	10	0.144	0.245856827	0.435	0.454974639	0.197	0.831634124	0.244	0.46199129
NRSN2	10	0.525	0.112289001	0.400	0.185666349	0.518	0.014483794	0.346	0.268229622
NRTN	8	0.479	0.065972277	-0.078	0.863506461	0.368	0.374336578	-0.107	0.841714384
NRXN1	10	0.370	0.225104796	0.201	0.17603775	0.199	0.613038097	-0.001	0.995575272
NRXN2	9	0.183	0.72002753	-0.322	0.781176889	-0.125	0.990971919	0.143	0.624194206
NRXN3	9	0.180	0.397795159	0.361	0.048889406	-0.054	0.988784832	0.034	0.36872406
NSA2	10	-1.338	0.044024345	-2.619	0.000487248	-1.629	0.003057187	-1.545	0.000707729
NSD1	8	-0.188	0.535919652	0.069	0.504153208	0.223	0.667240701	0.685	0.004190334
NSDHL	10	-0.022	0.684899561	0.324	0.317819351	-0.010	0.975744371	0.087	0.845737472
NSF	10	-2.668	6.05E-05	-3.733	0.000385866	-2.613	1.86E-05	-2.021	0.00024817
NSFL1C	8	-0.427	0.205108871	-0.735	0.418538976	0.204	0.892873934	-0.285	0.89903402
NSG1	10	0.239	0.477783747	0.463	0.050903622	-0.253	0.999981366	-0.159	0.95528915
NSL1	9	-2.191	0.002696018	-2.074	0.026847217	-1.552	0.00500573	-1.777	0.017979452
NSMAF	10	-0.202	0.656305515	0.291	0.242383976	0.193	0.534402448	-0.213	0.845078341
NSMCE1	10	-2.621	5.78E-05	-2.074	0.008095609	-0.409	0.077667896	-0.657	0.052649046
NSMCE2	10	-1.179	0.024586468	-1.267	0.226802787	-0.600	0.125333152	-0.487	0.249025798
NSMCE4A	9	-1.592	0.006201911	-0.958	0.061774206	-0.782	0.22703689	-0.589	0.570680984
NSMF	9	-0.458	0.999390065	-0.881	0.489652454	-0.333	0.965494601	-0.191	0.55044756
NSRP1	9	-0.726	0.142248113	-0.754	0.106671528	-0.971	0.093962529	-0.838	0.040476703
NSUN2	9	0.034	0.468966016	-0.253	0.514967568	-0.182	0.955207296	0.062	0.749038076
NSUN3	10	-0.397	0.107725373	-0.137	0.770480995	-0.489	0.250191954	-0.028	0.89168302
NSUN4	10	-1.623	0.003620013	-1.236	0.143526793	-0.817	0.145769007	-1.014	0.006494101
NSUN5	9	-0.365	0.930891504	-0.607	0.028646899	0.002	0.949019949	-0.247	0.826259053
NSUN6	10	0.257	0.077148458	0.270	0.406399423	0.149	0.461198281	0.373	0.029907378
NSUN7	10	0.082	0.370491336	0.309	0.27201511	0.110	0.867635528	0.188	0.886325603
NT5C	10	0.038	0.656305515	-0.129	0.985122274	-0.077	0.753322567	-0.069	0.945330024
NT5C1A	9	-0.335	0.777455304	-0.447	0.297393865	-0.271	0.551914841	0.225	0.442980426
NT5C1B	9	-0.269	0.814167667	-0.086	0.937723172	0.085	0.836095716	0.208	0.421968712
NT5C1B-RDH14	9	-0.305	0.72169515	-0.304	0.934705609	-0.043	0.836095716	0.200	0.421968712
NT5C2	10	0.355	0.009806049	0.052	0.79469524	0.492	0.232185613	0.144	0.548510326
NT5C3A	10	-0.014	0.874721322	-0.034	0.889169055	0.103	0.921062554	0.237	0.277129535
NT5C3B	10	-0.024	0.684482782	0.159	0.446283503	0.128	0.746982367	-0.023	0.899016779
NT5DC1	10	0.195	0.092499672	-0.035	0.261691109	0.276	0.554398633	0.140	0.456301951
NT5DC2	8	0.142	0.387306842	0.313	0.117958564	0.393	0.657381571	0.012	0.827624721
NT5DC3	9	-0.190	0.947205546	0.001	0.213819827	-0.105	0.703214754	0.195	0.656554995
NT5E	9	-0.037	0.74812846	-0.581	0.441485814	-0.145	0.912520246	-0.256	0.964171719
NT5M	9	-0.475	0.226563873	-0.356	0.954447182	-0.133	0.653135126	-0.104	0.884784969
NTAN1	10	-0.055	0.893407256	-0.190	0.998932037	-0.037	0.933543174	0.101	0.478531775
NTF3	9	0.363	0.188362276	0.491	0.027405096	0.302	0.222194972	0.242	0.618158342
NTF4	8	-0.859	0.861476068	-1.106	0.789436832	-0.559	0.775130688	-0.582	0.905994547
NTHL1	10	0.062	0.719905589	0.103	0.381659725	0.371	0.017030641	0.264	0.249949941
NTM	8	0.357	0.254853117	0.596	0.06347074	0.348	0.286665829	0.203	0.729328343
NTMT1	9	-0.063	0.699598178	0.053	0.59394578	-0.161	0.863196118	0.089	0.892826637
NTN1	8	0.042	0.655446813	-0.432	0.876471114	-0.140	0.963835017	-0.157	0.285408954
NTN3	9	0.000	0.931512933	0.221	0.214149629	0.148	0.659896321	0.322	0.398975227
NTN4	9	0.140	0.445647439	-0.395	0.728775758	-0.068	0.974812151	0.155	0.437128076
NTN5	10	-0.139	0.910010508	0.144	0.394802328	-0.130	0.909877777	-0.191	0.46199129
NTNG1	10	0.061	0.626502207	-0.027	0.542594513	-0.075	0.863626335	0.174	0.676626053
NTNG2	9	-0.151	0.864161614	-0.146	0.779351729	-0.126	0.962685439	0.152	0.615653803
NTPCR	9	0.041	0.583105395	0.201	0.39755454	0.143	0.563223243	0.219	0.235046487
NTRK1	8	-0.254	0.997112528	-0.287	0.942525067	-0.359	0.76278797	-0.525	0.687186717
NTRK2	9	0.088	0.537929169	0.550	0.11926626	0.148	0.490110822	0.325	0.482709048
NTRK3	10	-0.421	0.093038794	-0.010	0.472146302	0.100	0.936382365	0.395	0.125138192
NTS	10	0.131	0.536744308	0.386	0.232445138	0.207	0.529693145	0.476	0.118313847
NTSR1	8	0.290	0.520296125	-0.033	0.932161217	0.092	0.743756874	0.363	0.232042855
NTSR2	9	-0.145	0.404561231	-0.407	0.758484965	-0.317	0.985870822	-0.354	0.963451989
NUAK1	10	-0.112	0.992018432	-0.307	0.551347908	0.321	0.452486643	-0.006	0.757225479
NUAK2	10	-0.005	0.583105395	-0.083	0.809282327	0.250	0.531013746	0.107	0.703170008
NUB1	10	-0.108	0.784564364	0.043	0.681959032	0.005	0.886889017	0.143	0.787330426
NUBP1	8	-2.423	0.004083945	-2.282	0.004823009	-2.454	0.010524242	-1.052	0.029907378
NUBP2	9	-1.821	0.02449911	-2.159	0.119857434	-1.694	0.058785614	-0.511	0.176269063
NUBPL	10	-0.551	0.065395356	0.302	0.277518003	-0.522	0.165442249	-0.155	0.993126195
NUCB1	8	0.294	0.213639796	-0.350	0.376290849	-0.223	0.922833384	0.060	0.632841356
NUCB2	10	-0.266	0.886592505	-0.300	0.86074972	-0.114	0.928315328	0.119	0.712177534
NUCKS1	8	-0.070	0.960067505	-0.917	0.81543986	-0.267	0.758972372	0.080	0.507535884
NUDC	9	-2.130	0.002236286	-2.296	0.002553177	-1.411	0.026460481	-1.875	0.000908818
NUDCD1	9	0.212	0.280726206	-0.570	0.215339289	0.308	0.11039453	0.125	0.557650644
NUDCD2	7	-0.056	0.887423823	0.141	0.717861241	0.383	0.525905085	0.160	0.832231194
NUDCD3	8	-2.024	0.000372644	-1.694	0.001744593	-1.416	0.002661279	-1.709	0.001848926
NUDT1	9	0.219	0.454042854	0.160	0.72893271	0.180	0.598739468	0.370	0.515824863
NUDT10	7	0.006	0.937152264	0.135	0.729883975	0.030	0.703916863	0.263	0.354219876
NUDT11	7	-0.483	0.507746516	-0.050	0.928114447	0.039	0.951126929	0.203	0.673270905
NUDT12	9	-0.137	0.999905105	-0.171	0.751631028	-0.043	0.671651128	0.108	0.661187804
NUDT13	10	0.057	0.394560908	-0.340	0.316986772	0.023	0.915100277	0.076	0.60313586
NUDT14	10	0.189	0.63015703	0.217	0.289796532	0.110	0.842187808	0.115	0.568054283
NUDT15	10	-0.071	0.876453901	-0.004	0.848520078	0.165	0.736000591	0.011	0.846289268
NUDT16	10	0.186	0.356926099	0.473	0.102730978	0.283	0.480916141	-0.053	0.84365482
NUDT16L1	9	0.056	0.723932923	0.045	0.619701071	-0.109	0.672608829	0.183	0.440096888
NUDT17	9	-0.141	0.853674027	-1.025	0.119766287	-0.200	0.667003281	-0.345	0.518318703
NUDT19	10	-0.088	0.811709342	-0.142	0.691272708	-0.092	0.806868954	-0.106	0.948888881
NUDT2	10	-0.469	0.444887427	-1.291	0.08015571	-0.038	0.770652156	0.072	0.651196477
NUDT21	10	-2.295	0.000112504	-2.929	0.001270856	-2.047	0.000100487	-2.178	0.000602975
NUDT22	9	-0.387	0.549271422	-0.578	0.721189036	0.007	0.995540317	-0.274	0.487957957
NUDT3	10	-0.173	0.318413687	-0.293	0.87589315	0.116	0.826711125	0.005	0.827624721
NUDT4	9	-1.300	0.016782635	-1.213	0.294713416	-1.146	0.180632602	-0.913	0.347908776
NUDT5	9	0.239	0.199255378	-0.148	0.966319153	-0.304	0.529888633	0.213	0.597805821
NUDT6	9	0.083	0.22426392	0.311	0.357882968	-0.031	0.619309251	0.273	0.292368253
NUDT7	10	-0.113	0.864161614	0.232	0.225960204	0.047	0.93936804	0.203	0.735296542
NUDT8	9	-0.223	0.384315572	-0.552	0.305774847	-0.035	0.934747234	-0.122	0.959049643
NUDT9	10	0.040	0.759713576	0.124	0.344832921	0.258	0.479148481	0.010	0.993411672
NUF2	10	-1.438	0.015907749	-2.017	0.039089289	-1.874	0.001859921	-1.806	0.000854884
NUFIP1	10	-1.064	0.052345973	-1.328	0.101667677	-0.387	0.686394873	-0.317	0.661187804
NUFIP2	10	-0.910	0.008844381	-0.432	0.402911315	-0.662	0.228740114	-0.575	0.315811989
NUGGC	10	-0.352	0.494089234	-0.843	0.333617188	-0.205	0.733797182	-1.027	0.705753609
NUMA1	7	-0.776	0.123331321	-0.485	0.626666291	-1.139	0.033038576	-0.884	0.16229654
NUMB	9	-0.473	0.709284181	-0.869	0.741850398	-0.088	0.903137793	-0.668	0.897305185
NUMBL	10	-0.383	0.687368529	-0.830	0.87589315	-0.200	0.946417481	-0.083	0.860295717
NUP107	10	-0.844	0.046885337	-1.222	0.005571681	-1.159	0.000776404	-1.981	0.002574181
NUP133	10	-2.031	0.00061294	-2.471	0.004233977	-1.696	0.000269608	-2.822	1.98E-05
NUP153	7	-0.849	0.132850418	-1.371	0.289796532	-0.728	0.594566092	-0.780	0.653592177
NUP155	9	-1.919	0.002352497	-1.426	0.007340828	-1.555	0.000335287	-1.452	0.001469026
NUP160	9	-2.069	0.001202803	-3.040	0.00135666	-3.355	2.96E-05	-2.100	0.002934607
NUP188	10	-1.130	0.000761371	-1.602	0.024100918	-0.880	0.01110275	-1.047	0.049414575
NUP205	10	-1.457	0.067470116	-1.542	0.122336206	-2.023	0.01418695	-1.746	0.004900841
NUP210	10	-0.250	0.484048227	-0.504	0.339308704	-0.013	0.998786865	-0.087	0.691623902
NUP210L	8	-0.062	0.893516155	0.196	0.466489122	-0.270	0.737179934	0.342	0.384502453
NUP214	10	-2.006	5.34E-05	-4.655	3.76E-05	-1.567	0.022455044	-2.564	0.000364277
NUP35	10	-0.020	0.842126191	-0.193	0.580160088	-0.126	0.655986878	-0.120	0.794015561
NUP37	10	0.152	0.574345594	0.107	0.170192544	-0.079	0.975033389	0.275	0.755960703
NUP43	7	-1.801	0.034270895	-1.156	0.198515056	-1.373	0.0583129	-2.410	0.000514733
NUP50	10	-0.274	0.548347381	-0.470	0.621687693	-0.614	0.134821034	0.134	0.594653758
NUP54	9	-0.965	0.035450638	-1.301	0.135301771	-1.243	0.009535734	-1.979	0.000365157
NUP62	9	-2.267	0.000114878	-2.643	0.020184566	-2.248	0.000694366	-2.249	0.00038382
NUP62CL	9	0.227	0.503787786	0.380	0.098478842	0.035	0.801096533	0.138	0.699834816
NUP85	10	-2.304	0.000286693	-3.402	0.000249673	-2.165	5.80E-05	-2.024	0.001735979
NUP88	9	-1.755	0.004380547	-2.017	0.000973755	-1.337	0.10079278	-1.378	0.000299959
NUP93	9	-1.710	0.006876622	-2.911	0.005129431	-2.018	0.00041332	-1.781	0.000482715
NUP98	7	-1.496	0.012256995	-2.276	0.009275334	-1.362	0.027817991	-1.339	0.009232959
NUPL1	8	-1.270	0.246787825	-1.412	0.036934312	-0.947	0.042567496	-1.264	0.008358377
NUPL2	10	0.082	0.330253508	0.181	0.056110432	-0.245	0.964634425	-0.267	0.959375898
NUPR1	10	0.186	0.222615326	0.183	0.075762414	0.023	0.94855833	-0.153	0.529932737
NUPR1L	9	-0.185	0.999390065	0.272	0.404290898	0.144	0.808444297	-0.226	0.905245428
NUS1	9	-2.054	0.002127425	-2.145	0.036377612	-1.900	0.004075634	-1.654	0.002836557
NUSAP1	10	-0.275	0.885135986	-0.244	0.981056412	-0.336	0.666004335	-0.012	0.94513185
NUTF2	10	-1.518	0.072315359	-3.236	0.000524891	-2.667	5.38E-05	-2.300	0.000143269
NUTM1	10	-0.359	0.583980458	-0.350	0.948607502	-0.390	0.449494347	-0.489	0.614236093
NUTM2A	10	-0.130	0.71812353	-1.111	0.219322164	0.038	0.852028143	-0.160	0.979169511
NUTM2D	9	-0.111	0.979460526	-0.969	0.634284902	0.134	0.737179934	-0.089	0.90245286
NUTM2F	10	-0.222	0.814745918	-0.870	0.574688587	-0.936	0.670856334	-0.384	0.661187804
NUTM2G	8	-0.013	0.927204965	0.309	0.348740747	-0.177	0.995576794	0.070	0.550449443
NVL	10	-2.390	9.35E-05	-3.479	0.000318796	-2.447	8.16E-05	-2.129	0.000161978
NWD1	10	-0.347	0.81948729	-0.775	0.622711015	-0.577	0.739671863	-0.187	0.997200089
NXF1	9	-1.539	0.007508604	-2.579	0.041485124	-1.691	0.008010845	-1.429	0.096353623
NXF2	8	-0.147	0.870660154	-0.309	0.907923941	-0.286	0.847179463	0.203	0.438307698
NXF2B	8	-0.261	0.467643228	-0.249	0.907923941	-0.471	0.486654888	0.103	0.826137367
NXF3	9	0.234	0.364363617	0.616	0.05032854	0.053	0.773114292	0.119	0.534510499
NXF5	10	0.247	0.207611805	0.304	0.084440664	-0.001	0.903137793	0.522	0.003610568
NXN	9	0.035	0.63431948	-0.131	0.871216156	0.047	0.676401962	0.233	0.599346619
