#Supplementary Data 13 - Total mutation rates observed in K562 with Cas9Sp nuclease				
#Gene	K562 (Control#1)	K562 (CAS9 + gRNA library only)	K562 (Control) - Read Count	K562 (Cas9 + gRNA library only) - Read Count
RUNX1_chr21_36259379	0	0.578562728	1141	3284
RUNX1T1_chr8_93026815	0	0	424	880
RXFP1_chr4_159520538	0	0.391772772	213	1021
RXFP2_chr13_32351540	0	0.102774923	1222	2919
RXFP3_chr5_33936856	0	0.144672936	3270	9677
RXFP4_chr1_155911901	0	0.226791654	2747	6614
RXRA_chr9_137300793	0	0.299850075	1946	4669
RXRB_chr6_33168020	0	0.15641293	766	1918
RXRG_chr1_165414090	0	0.329489292	77	607
RYR1_chr19_38931405	0	0.077561467	4070	12893
RYR2_chr1_237205826	0	0.147601476	912	2710
RYR3_chr15_33765640	0.12254902	0.355641772	2448	6186
S1PR1_chr1_101704599	0	0	719	908
S1PR2_chr19_10335434	0	0	42	180
S1PR4_chr19_3178999	0	0.275103164	1638	4362
S1PR5_chr19_10625644	0	0.085787818	747	3497
SCN10A_chr3_38835447	0	0.180288462	520	1664
SCN11A_chr3_38991645	0	0.407000407	391	2457
SCN1B_chr19_35521741	0	0.213390237	1208	3749
SCN2A_chr2_166221704	0	0.16064257	929	2490
SCN2B_chr11_118038940	0	0.083042684	1581	6021
SCN3A_chr2_165997298	0	0.049443758	1117	4045
SCN3B_chr11_123516296	0	0.045351474	1597	4410
SCN4A_chr17_62050136	0	0.253871541	971	3939
SCN4B_chr11_118015871	0	0.899550225	248	667
SCN8A_chr12_52056710	0	0.11889821	4731	15139
SCN9A_chr2_167168076	0	0.49382716	1338	4455
SCNN1A_chr12_6472674	0	0	517	1958
SCNN1B_chr16_23364263	0	0.058582308	2133	5121
SCNN1D_chr1_1216629	0	0.264410365	741	1891
SCNN1G_chr16_23197638	0.103519669	0.104618144	2898	6691
SCTR_chr2_120236406	0	0.076775432	1408	2605
SDC4_chr20_43976998	0	0	199	366
SDHAF2_chr11_61205524	0	0	0	19
SDHB_chr1_17380485	0	0.125208681	2307	7188
SETBP1_chr18_42281353	0	0.075757576	1233	2640
SF3B1_chr2_198288609	0	0.413630097	1878	5077
SFPQ_chr1_35658545	0	0.106382979	989	2820
SH2B3_chr12_111856036	0	0	1336	3791
SH3GL1_chr19_4361736	0	0.145137881	608	1378
SIGIRR_chr11_407505	0	0.418383518	5933	15775
SLC34A2_chr4_25664152	0	0.433526012	2106	6920
SLC45A3_chr1_205633665	0	0	1220	2658
SLC6A1_chr3_11059017	0	0.113500221	4700	15859
SLC6A11_chr3_10885902	0	0.127388535	898	1570
SLC6A12_chr12_313771	0	0	1883	6080
SLC6A13_chr12_346430	0	0.181653043	413	1101
SLC6A14_chrX_115569014	0	0.37468776	682	2402
SLC6A15_chr12_85264297	0	0.367872471	2297	6524
SLC6A16_chr19_49814467	0	0.08540439	3596	11709
SLC6A17_chr1_110716613	0	0.105296409	5573	9497
SLC6A18_chr5_1232380	0	0.791139241	276	632
SLC6A19_chr5_1201857	0	0.16139879	1974	7435
SLC6A2_chr16_55690612	0	0	226	447
SLC6A20_chr3_45837874	0	0.25974026	747	1925
SLC6A3_chr5_1443271	0	0.103896104	333	1925
SLC6A4_chr17_28545897	0	0	211	228
SLC6A5_chr11_20622907	0	0	1353	2910
SLC6A6_chr3_14526447	0	0.441609421	717	2038
SLC6A7_chr5_149574447	0	0.048088483	1744	4159
SLC6A9_chr1_44482748	0	0.443880786	1853	4731
SMAD4_chr18_48575081	0	0	1964	4815
SMARCA4_chr19_11097007	0	0.697134005	3149	7746
SMARCB1_chr22_24133949	0	0.437083046	1558	4347
SMO_chr7_128829096	0	0	497	842
SNX29_chr16_12223488	0	0	859	2555
SOCS1_chr16_11349149	0	0	254	1137
SOX2_chr3_181430188	0	1.353179973	166	739
SRGAP3_chr3_9094816	0	0	1808	3084
SRSF2_chr17_74733150	0	0.107509097	3302	12092
SS18_chr18_23615842	0	0	445	1314
SS18L1_chr20_60738542	0	0	1493	3446
SSTR1_chr14_38678715	0	0.576744186	2212	5375
SSTR2_chr17_71165465	0	0	468	1685
SSTR3_chr22_37603818	0	0	1849	4017
SSTR4_chr20_23016186	0	0.532180276	2579	6013
SSTR5_chr16_1129161	0.040265754	0.302088728	4967	11586
STAT3_chr17_40498631	0	0.516487882	848	2517
STIL_chr1_47775963	0	0	1106	2938
STK11_chr19_1207016	0	1.858736059	44	269
SUFU_chr10_104264000	0	0.351699883	401	853
SUZ12_chr17_30315376	0	0.904977376	82	221
SYK_chr9_93606362	0	0.176333522	4854	15879
TAAR5_chr6_132910674	0	0.073851348	6928	18957
TAAR6_chr6_132891497	0	0	251	445
TAAR8_chr6_132873918	0	0.340599455	748	1468
TAAR9_chr6_132859917	0	0	35	399
TACR1_chr2_75347709	0	0.150549061	4901	11292
TACR2_chr10_71175918	0	0.092128161	3421	9769
TACR3_chr4_104640749	0	0.356848751	1965	3643
TAL1_chr1_47691449	0	0.493949123	2819	8098
TAL2_chr9_108424894	0	0.341369746	1847	4687
TAS1R3_chr1_1267079	0	0.480505217	2045	7284
TAS2R13_chr12_11061744	0	0	372	1149
TAS2R14_chr12_11091669	0	0.105238541	3555	8552
TAS2R16_chr7_122635018	0	0.067816315	3280	10322
TAS2R3_chr7_141464836	0	0	1438	3787
TAS2R31_chr12_11183387	0	0.364963504	779	2466
TAS2R38_chr7_141672666	0	0	140	197
TAS2R4_chr7_141478946	0	0.074794316	2278	5348
TAS2R40_chr7_142919330	0	0.745650373	287	1207
TAS2R41_chr7_143175826	0	0	261	362
TAS2R5_chr7_141490479	0	0.800533689	1310	2998
TAS2R60_chr7_143140620	0	0.217951258	1948	5047
TBXA2R_chr19_3600608	0	0.27700831	1104	1805
TCF12_chr15_57212118	0	0.301659125	4100	9945
TCF3_chr19_1627389	0	0	119	192
TCL1A_chr14_96180347	0	3.279658232	5889	15215
TEK_chr9_27185517	0	0	890	1102
TERT_chr5_1295044	0	0.109993715	3170	12728
TET1_chr10_70332455	0	0.70156503	600	1853
TFE3_chrX_48900726	0.055340343	0.143266476	3614	9074
TFEB_chr6_41652435	0	0.156204237	3928	10243
TFG_chr3_100463687	0	0.057608427	3865	12151
TFRC_chr3_195802176	0	0.102459016	431	1952
TGFBR1_chr9_101891274	0	0.33632287	772	1784
TGFBR2_chr3_30648447	0	0.231696015	698	2158
THRA_chr17_38240863	0	0	965	3000
THRAP3_chr1_36748259	0	0.621118012	158	966
THRB_chr3_24185031	0	0.346820809	1723	5190
TIE1_chr1_43770664	0	0.370086779	2697	7836
TLX1_chr10_102891335	0.129617628	0	1543	4424
TLX3_chr5_170736480	0	0	456	1675
TNFAIP3_chr6_138192631	0	0.98400984	1416	2439
TNFRSF10A_chr8_23082431	0	0	410	1581
TNFRSF10B_chr8_22926380	0	0.038857587	1386	5147
TNFRSF10D_chr8_23021399	0	0.194741967	469	1027
TNFRSF11A_chr18_60021724	0	0.130180082	3586	9218
TNFRSF11B_chr8_119945249	0	0.214521452	4338	12120
TNFRSF12A_chr16_3071250	0	0.166875261	3858	11985
TNFRSF13B_chr17_16852262	0	0.567495774	2535	8282
TNFRSF17_chr16_12061495	0.225098481	0.682904621	1777	4393
TNFRSF18_chr1_1141903	0	0.10252905	1314	2926
TNFRSF19_chr13_24233205	0	0	170	347
TNFRSF1A_chr12_6443364	0	0.08312552	973	3609
TNFRSF1B_chr1_12248855	0	0	324	769
TNFRSF21_chr6_47254032	0	0.449185851	456	1781
TNFRSF25_chr1_6524721	0	0.132071319	3323	9086
TNFRSF4_chr1_1149385	1.444350042	0.217844289	3531	10558
TNFRSF6B_chr20_62328517	0	0.924974306	191	973
TNFRSF8_chr1_12123691	0.096107641	0.076365025	2081	5238
TOP1_chr20_39729897	0	1.677852349	280	596
TP53_chr17_7579881	0.048363695	0.095516052	6203	18845
TPM4_chr19_16187441	0	0.262123198	192	763
TPR_chr1_186344048	0	0.138504155	1040	3610
TRAF7_chr16_2220640	0	0.129032258	893	1550
TRIM24_chr7_138145624	0	0.102319236	2883	5864
TRIM27_chr6_28891312	0	0.093984962	3161	10640
TRIM33_chr1_115053492	0	0.253678336	517	1971
TRPC1_chr3_142443407	0	0.571247223	988	3151
TRPC3_chr4_122854095	0	0.104384134	1309	3832
TRPC4_chr13_38320136	0	0.053751881	2555	9302
TRPC5_chrX_111195330	0	0.044322312	3124	11281
TRPC6_chr11_101375480	0	0.045787546	1256	4368
TRPM1_chr15_31453133	0	0.270562771	2562	7392
TRPM2_chr21_45773675	0.093414292	0	2141	5554
TRPM3_chr9_73457971	0	0.06097561	2250	6560
TRPM4_chr19_49669405	0	0.156408853	4828	12787
TRPM5_chr11_2443527	0	0.133575041	3912	10481
TRPM6_chr9_77457236	0	0	935	3117
TRPM7_chr15_50940922	0	0.27941633	1677	3221
TRPV1_chr17_3495464	0	1.253596383	2585	4866
TRPV2_chr17_16321123	0	0.129655823	3006	8484
TRPV3_chr17_3438964	0.070052539	0.114950301	5710	14789
TRPV4_chr12_110252336	0	0	1016	2029
TRPV5_chr7_142622679	0	0.18911536	2033	4759
TRPV6_chr7_142573367	0	0.214477212	608	1865
TSC1_chr9_135797337	0	0.23557126	735	2547
TSC2_chr16_2100417	0	0	39	60
TSHR_chr14_81422166	0.05899705	0.118788359	3390	10102
TTL_chr2_113239929	0	0.109689214	888	2735
USP6_chr17_5040458	0	0.012191405	6711	16405
UTS2R_chr17_80332663	0	0.125959006	3275	8733
VDR_chr12_48258852	0	0.325354404	1590	4303
VHL_chr3_10183729	0.053390283	0.298007078	3746	10738
VIPR1_chr3_42567380	0	0.309597523	2776	6137
VIPR2_chr7_158902550	0	1.485884101	229	673
VN1R5_chr1_247419912	0	0.025558017	4987	11738
VTI1A_chr10_114207139	0	0.101419878	692	2958
WAS_chrX_48545229	0	0.151400454	1952	5284
WHSC1_chr4_1902487	0	0.039564787	9470	25275
WHSC1L1_chr8_38173509	0.157853197	0.358663977	1267	4461
WIF1_chr12_65514839	0	0.137598899	825	2907
WT1_chr11_32456836	0	0.075938381	2948	9218
WWTR1_chr3_149375018	0	0.085421412	2132	3512
XCR1_chr3_46063049	0	0.201106083	1185	1989
XPA_chr9_100459520	0	0.253271423	968	2369
XPO1_chr2_61722705	0	0	154	864
ZBTB16_chr11_113934463	0	0.124610592	1120	1605
ZMYM2_chr13_20660031	0	0.282087447	432	709
ZNF331_chr19_54074874	0	0	263	755
ZNF384_chr12_6788148	0	0.123152709	519	1624
ZNF521_chr18_22930880	0	0	444	1850
