#Supplementary Data 10 - Total mutation rates observed in 293T with Cas9Sp nuclease												
#Gene	293T (Control#1)	293T (CAS9 + gRNA library only)	293T (CAS9 + gRNA library + Artemis)	293T (CAS9 + gRNA library + TREX2)	293T (CAS9 + gRNA library + TdT)	293T (CAS9 + gRNA library + ddrA)	293T (Control#1) - Total Read Count	293T (CAS9 + gRNA library only) - Total Read Count	293T (CAS9 + gRNA library + Artemis) - Total Read Count	293T (CAS9 + gRNA library + TREX2) - Total Read Count	293T (CAS9 + gRNA library + TdT) - Total Read Count	293T (CAS9 + gRNA library + ddrA) - Total Read Count
GPR37L1_chr1_202096964	0	0.511587771	0.54342734	1.07701216	0.281011642	0.531657806	14633	34433	25047	18807	18212	20293
GPR39_chr2_133175219	0	0.150630766	0.316330565	0.434707007	0.055422132	0.15737017	557	2020	1198	1021	829	980
GPR4_chr19_46095079	0	1.212938005	0.991899488	2.304486394	1.03626943	0.681140911	2038	5914	3557	3300	2550	2623
GPR45_chr2_105858758	0	0.801881105	0.647461762	1.025641026	0.453115167	0.64627813	6156	16059	12119	9653	8768	9180
GPR50_chrX_150345277	0	0.043821209	0.069881202	0	0	0	5828	14936	9898	8764	7143	8271
GPR55_chr2_231775359	0	0.499941867	0.423650764	2.133333333	0.303490137	0.535506403	9923	22553	15726	11692	11780	12547
GPR56_chr16_57685206	0	1.163757273	1.971326165	3.937007874	1.769911504	0.604229607	4900	16224	10673	8635	7473	8276
GPR6_chr6_110300535	0	0.650195059	1.246882793	2.88379983	0.417536534	0.373134328	4101	10622	7587	5751	5413	5719
GPR61_chr1_110085826	0	2.716049383	2.169625247	5.089058524	1.344936709	2.188006483	3061	8904	6049	4079	4439	4698
GPR62_chr3_51989998	0	0.494623656	0.680079343	2.121771218	0.398883127	0.366449511	6107	16586	10657	8190	7945	8665
GPR63_chr6_97247570	0	0.228953857	0.199004975	0	0.232018561	0.103878116	1267	4564	2862	2016	2015	2068
GPR64_chrX_19025404	0	0.466200466	0.795755968	0.707714084	0.391542678	0.229885057	3165	8601	5429	4500	3954	4295
GPR65_chr14_88477505	0	1.072522983	0.566611388	1.642461964	0.647482014	0.894687791	1078	2406	1674	1397	1130	1324
GPR68_chr14_91701347	0	0.751242657	1.600823816	3.098560598	0.519953204	0.405904059	858	2307	1203	1179	958	1072
GPR78_chr4_8582828	0	1.012555691	1.739130435	5.270863836	1.30952381	1.154249738	854	2025	1521	786	1264	1234
GPR82_chrX_41586620	0	0.305676856	0.601202405	0.534351145	0.156494523	0.460122699	1856	4650	3529	2168	2507	2456
GPR83_chr11_94134045	0	0.56753689	0.738534842	2.106847254	0.542686962	0.614182021	2136	5678	4020	2938	2586	2888
GPR84_chr12_54757558	0.043773255	0.339625622	0.514705882	0.583320195	0.16889039	0.201863354	845	2574	1885	1413	1277	1305
GPR85_chr7_112724671	0	3.291139241	1.067961165	3.488372093	0.790960452	2.183908046	3951	11748	7236	5784	5560	5365
GPR87_chr3_151012895	0	0.194174757	0.179533214	0	0.236686391	0	5444	17704	10682	9101	7693	8130
GPR88_chr1_101004618	0	0.430050438	0.376001308	0.482483742	0.198830409	0.306714865	564	2469	1035	1366	840	953
GPR97_chr16_57718351	0	1.159678858	1.194624191	1.835915089	0.484764543	0.62606716	920	2290	1497	1310	1278	652
GPRC5A_chr12_13061198	0	0.729594163	0.829302004	0.636267232	0.577478345	0.682593857	4074	11453	8395	6645	7555	7164
GPRC5B_chr16_19884020	0	2.307771913	1.837230489	3.283355475	1.998223801	1.817463453	4569	12661	8160	6343	5921	6440
GPRC5D_chr12_13103148	0	1.786652654	2.503477051	5.250596659	2.543352601	1.365546218	716	1580	1030	860	885	870
GPRC6A_chr6_117127536	0.056069526	0.26889752	0.047296232	0.036879956	0	0.109529025	617	1545	1114	969	845	806
GRIA1_chr5_153026704	1.838235294	0.196078431	0	0	0	0.220022002	6292	18835	12234	9534	8550	9129
GRIA2_chr4_158142830	0	0.531384922	0.597152044	2.007083825	0.543847723	0.116346713	1523	3363	2009	1743	1444	1757
GRIA3_chrX_122318426	0	0.224592925	0.16064257	1.025641026	0	0	1652	4386	2894	1886	2078	2051
GRIA4_chr11_105483067	0	2.09383482	3.090379009	3.590425532	1.614530777	2.011263073	3596	9663	6586	5269	4504	5062
GRID1_chr10_88123830	0	0.776322174	0.845308538	1.194304088	0.368421053	0.597701149	498	1903	1438	838	865	952
GRID2_chr4_93225857	0.515463918	0.169923534	0	0	0	0.33557047	3567	10041	6343	5423	5013	5478
GRIK1_chr21_31311705	0	0.998336106	1.766304348	3.741007194	0.733944954	2.631578947	544	1530	1046	952	725	909
GRIK2_chr6_102074483	0	0.320741269	0.337186898	0.73046019	0.218181818	0.222882615	1220	3011	2177	1694	1471	1719
GRIK3_chr1_37356673	0.189753321	0.173711639	0.102092905	0	0.252365931	0.16510732	626	1781	1245	585	921	1013
GRIK4_chr11_120531031	0	1.452494874	1.590797846	3.061615002	1.634615385	1.217228464	1069	2579	1715	1504	991	1243
GRIK5_chr19_42569375	0	0.440910165	0.662251656	1.815685078	0.10519988	0.383537395	1847	4122	3549	2177	1900	2175
GRIN1_chr9_140033946	0	3.305118904	3.147629622	5.692649171	2.801039561	2.115711114	388	1177	720	698	561	596
GRIN2A_chr16_9984855	0	0.660611065	0.239872068	0.578871201	0.517598344	0.095328885	346	1202	736	695	545	570
GRIN2B_chr12_14019001	0	1.117964534	0.79787234	2.610261026	0.879507476	1.503759399	1015	2806	2076	1369	1375	1346
GRIN2C_chr17_72848474	0	0.573046355	0.599161174	1.120412106	0.467997247	0.49343202	1054	3454	1959	1706	1585	1817
GRIN2D_chr19_48901817	0	2.14770798	2.458563536	2.085435587	1.756116811	2.301452556	2334	5852	4086	2613	3120	3204
GRIN3A_chr9_104500046	0	0.789096126	0.613967767	1.313868613	0.54884742	0.536082474	5203	12701	8456	6554	6654	6779
GRIN3B_chr19_1000635	0	2.181208054	1.44280316	2.705061082	1.320422535	1.425891182	5956	14886	10357	7659	6926	7657
GRM1_chr6_146350743	0	1.05149636	0.840672538	2.58571155	0.887409872	0.536700868	1978	6055	3752	2764	2898	3147
GRM2_chr3_51743260	0.04805382	3.691963453	2.878870179	4.887085392	2.224247949	3.170274416	794	2594	1504	1111	1137	1197
GRM3_chr7_86394633	0	1.706266943	2.553291169	2.641353694	1.034482759	1.347254968	11463	29317	20028	15530	14530	14997
GRM4_chr6_34100914	0	2.00055571	4.753820034	4.524656838	1.781857451	0.953895072	3773	11780	7240	5946	5068	5301
GRM5_chr11_88386475	0	0.126823082	0	0.511247444	0	0.997506234	1386	4182	2606	2055	1822	2425
GRM6_chr5_178421822	0	1.081599124	0.582524272	1.476510067	0.696547547	0.655093351	1814	4768	2911	2292	2272	2665
GRM7_chr3_6903177	0	0.110864745	0.124933072	0.408997955	0.245365322	0.244977952	3993	11127	7494	5221	5409	6335
GRM8_chr7_126883184	0	5.748409421	4.355555556	6.437869822	4.131408661	3.830972835	4162	10726	7364	5668	5485	5867
GRPR_chrX_16142133	0	0.145458464	0.469772815	0.97107438	0.156337242	0.209622679	2485	6271	4269	2423	2900	2969
HCAR1_chr12_123214856	0	2.546455609	1.544004117	1.800554017	2.075326672	1.106500692	1597	3599	2356	1967	1852	1887
HCN1_chr5_45696155	0	1.277389277	1.167108753	3.976043919	0.987022482	1.057537193	594	1577	1063	978	664	802
HCN2_chr19_603759	0	0.34904014	0.243411113	0.649851305	0.210723484	0.330069315	2181	7304	4635	3725	3302	3053
HCN3_chr1_155252293	0	0.442271881	0.817686251	1.776988005	0.610902256	0.90572252	2795	8118	5603	4401	3668	4082
HCN4_chr15_73660005	0	1.61041253	1.175088132	2.923976608	1.31201312	1.25342734	3356	8959	5625	4225	4018	4307
HCRTR1_chr1_32084889	0	0.105540897	1.150369762	2.796420582	0	0	6657	18562	12985	9680	8955	10018
HCRTR2_chr6_55039390	0	0.970873786	1.174068402	2.942077842	0.561600562	0.498753117	1129	2906	1943	1444	1301	1446
HERPUD1_chr16_56966174	0	2.275312856	1.15990058	2.936378467	0.248447205	0.193610842	4147	10725	7540	6011	5471	5579
HIST1H3B_chr6_26032262	0	0.551768906	0.579099763	1.226993865	0.126342388	0.495212942	6046	17763	11914	9079	8542	9089
HLF_chr17_53345149	0	1.044776119	0.871124776	0.991150442	0.933908046	1.553760099	1788	4296	3302	2251	2128	2429
HNF4A_chr20_42984448	0	0.632172061	1.066098081	1.550695825	0.432152118	0.258360844	1803	4533	3404	2565	2439	2553
HNF4G_chr8_76470799	0	0.54894785	0.123839009	0.522193211	0.630252101	0	792	1895	1217	894	955	903
HNRNPA2B1_chr7_26237313	0	0.826446281	0.311041991	0.89047195	0.190114068	0.396039604	2126	6180	3918	3263	2849	3208
HOXA11_chr7_27224694	0	1.295279912	1.294964029	1.326899879	0.281293952	0.672551492	647	1758	1207	613	805	1033
HOXA13_chr7_27239179	0	0.706001009	1.097293343	1.130776794	0.475938657	0.711574953	29	319	80	78	56	52
HOXA9_chr7_27204887	0	0.397350993	0.578592093	2.927339258	0.661256387	0.623700624	2305	6162	3799	3260	3166	3029
HOXC11_chr12_54367080	0	1.1537127	1.104310804	2.114803625	0.800156128	0.531367844	2058	5360	3903	2825	2784	3218
HOXC13_chr12_54332729	0	1.985588471	1.137138958	2.205398288	1.753758053	1.516034985	4311	14553	8911	7545	5785	6967
HOXD11_chr2_176972084	0	3.130990415	2.456140351	2.063144733	1.47299509	2.164625463	843	2186	1615	1149	952	961
HOXD13_chr2_176957833	0	0.166626994	0.413378429	1.057957682	0.646444555	0.417827298	845	1936	1286	1123	1052	505
HRAS_chr11_533490	0	0.432900433	0.778050778	1.662844037	0	0.461680517	1518	4555	3475	2487	2133	2379
HRH1_chr3_11300869	0	3.008496619	2.050599201	3.143834501	2.741134144	2.774488242	1600	3966	2734	2034	1891	2108
HRH2_chr5_175110361	0	0.330812854	0.864864865	2.288650163	0.549450549	0	2318	6795	4148	3826	3327	3367
HRH3_chr20_60795004	0	1.642608263	0.402504472	2.664491572	0.930996714	2.191011236	3720	11528	7516	5958	5124	5834
HSP90AA1_chr14_102605639	0	0.993560258	0.674157303	2.447117379	1.105198526	0.713315217	2393	6245	4397	3038	2794	3430
HTR1A_chr5_63257467	0	1.494451927	2.117085777	5.084147346	1.480904131	1.602928184	2464	6260	3990	3199	3055	3511
HTR1B_chr6_78172869	0	0.326264274	0.328227571	0.346020761	0	0.414937759	1610	4201	2661	2174	2011	2154
HTR1D_chr1_23520255	0	1.127214171	0.809109979	3.746397695	0.858614768	0.383729854	1346	3927	2442	1744	1880	2166
HTR1F_chr3_88040033	0	0.4101162	4.542440318	2.302922941	0.436490615	0.238663484	4620	11534	7510	6139	5837	5911
HTR2A_chr13_47466600	0	2.826455625	2.503863988	12.40263631	1.681706317	1.483357453	1643	4232	2775	2141	2002	2342
HTR2B_chr2_231973894	0	0	1.457725948	3.244837758	0.5859375	1.094890511	1159	4018	2236	1839	1826	1780
HTR2C_chrX_113965751	0	0.872216106	0.570414501	1.724137931	0.346320346	0.486448923	1888	5435	3560	2411	2443	2944
HTR3A_chr11_113848601	0	1.415389428	1.279965289	2.69642027	0.96320859	0.825471698	6479	15591	10061	8497	7698	7923
HTR3C_chr3_183774667	0.080385852	1.147563116	1.159114858	1.754385965	1.450344149	1.280193237	464	613	914	578	298	723
HTR3D_chr3_183753837	0	1.242236025	1.476793249	1.620029455	0.848656294	0.499643112	1897	3726	3337	1735	1747	1303
HTR3E_chr3_183818352	0	1.440249124	1.515151515	3.130287648	2.00462606	1.324503311	1640	4389	3016	2258	2291	2514
HTR4_chr5_147928268	0	4.498150856	3.826977496	5.418176091	3.130721347	3.580308304	1833	5307	3235	1669	2438	2764
HTR5A_chr7_154862951	0	0.71884984	0.692640693	1.425061425	0.846501129	0.764915859	437	1133	686	339	512	548
HTR6_chr1_19992374	0	0.453234446	0.271625575	1.001798099	0.12217471	0.497903564	4288	11809	7889	5568	5775	4317
HTR7_chr10_92617199	0	1.143168209	2.226890756	3.110419907	0.983836964	0.885216878	5314	12788	9219	6453	6333	6784
IDH1_chr2_209113106	0	3.606840063	2.58146424	4.848894903	3.269832243	2.599142551	2488	7407	4745	4218	4068	4140
IDH2_chr15_90634851	0	0.108892922	0.157397692	0.177725118	0	0	1030	2737	1896	1358	1414	1401
IFNAR1_chr21_34697372	0.11055832	1.201733649	0.737327189	1.572327044	0.662251656	0.828500414	1160	2569	1782	1182	1297	1208
IFNAR2_chr21_34619114	0	0.931034483	0.090252708	0.684079602	0.745712155	0.479123888	4627	11627	7421	6349	5462	6033
IFNGR1_chr6_137528156	0	0	0	1.549295775	0	0	1275	3756	2310	2035	1772	1961
IFNGR2_chr21_34787226	0	0.187969925	0.135464644	0.650239562	0.138760407	0.071250445	2361	7281	4786	3893	3274	3816
IGF1R_chr15_99250799	0	0.093440478	0	0.084638172	0.153433065	0	2202	7348	4760	3215	2846	3389
IKZF1_chr7_50367244	0	0.749464668	0.77170418	1.899196494	1.069640419	0.638122684	3006	6959	4726	4434	3517	3732
IL10RA_chr11_117859193	0	0.617283951	0.762776506	3.471552555	1.11223458	1.949152542	928	2755	1906	1688	1157	1444
IL11RA_chr9_34656739	0	1.308411215	2.534562212	3.17812269	0.940438871	1.383399209	1809	5076	3255	2544	2265	2414
IL13RA1_chrX_117880926	0	0.075987842	0.440806045	0.407055631	0.516795866	0	1039	2900	2216	1608	1341	1461
IL13RA2_chrX_114244192	0	0.174754671	0.079207921	0.044218439	0.194013304	0.102092905	536	1381	806	710	598	666
IL15RA_chr10_6008256	0	0.847132945	1.266939805	2.31884058	0.788168615	0.648140647	2076	5320	3691	2922	2162	2807
IL17RA_chr22_17566061	0	2.853321444	3.110543946	7.035734123	3.16091954	2.146760343	1897	5351	3646	2363	2607	2068
IL17RB_chr3_53890974	0	0.475391499	0.838323353	2.957746479	0.760043431	0.856072766	3977	9340	6220	5476	4394	4858
IL17RC_chr3_9962206	0	1.393728223	2.565016031	4.497991968	1.9566367	1.633165829	728	1782	1311	1037	989	1180
IL17RD_chr3_57199275	0	0.222222222	0.137697278	0.608416427	0.214071643	0.176151762	698	2140	1302	1353	957	1012
IL17RE_chr3_9948671	0	0.718778077	0.434782609	2.172481896	0.397877984	0	989	2632	1588	1474	1161	1240
IL18R1_chr2_102992402	0	0.353800135	0.220791168	0.98495702	0.331213567	0.230074922	2673	7439	5050	4523	3608	1959
IL18RAP_chr2_103040430	0.142959257	0.915264246	2.095316352	1.328609389	0.163487738	0.287521564	8855	23491	15865	11385	11292	12343
IL1R2_chr2_102626054	0	0.447743608	0.821767714	1.477226098	0.598515681	0.394218134	3632	8972	6269	5401	4524	5124
IL1RAP_chr3_190322080	0	0.758853288	1.289398281	1.030927835	0	0	1433	3576	2505	2130	1842	1869
IL1RAPL2_chrX_104440251	0	2.902902903	3.083841953	3.822574829	2.644336712	2.527517326	1802	4018	2807	2490	1891	2388
IL1RL1_chr2_102955369	0	1.532645346	1.161081717	1.318297332	1.172383847	1.437451437	5244	13950	9441	5917	7007	7380
IL20RB_chr3_136701106	0.081455335	0.421602088	0.744601638	2.739726027	0.524577424	0.217649387	1194	3339	1840	1519	1508	1617
IL21R_chr16_27445693	0	3.191371066	2.048211754	3.253253253	1.908396947	2.190745987	12364	31091	21740	16752	15096	16951
IL22RA1_chr1_24465094	0	1.248374512	2.866593164	2.620689655	0.351053159	0.475367329	1399	3387	2434	2258	1835	1739
IL2RA_chr10_6067815	0	2.834799609	3.228621291	3.178694158	3.233256351	2.257114818	70	661	112	359	134	69
IL2RG_chrX_70331295	0.329489292	1.52173913	2.860858257	3.104575163	2.480417755	1.12923463	2985	8487	5476	4874	4177	4566
IL4R_chr16_27353487	0	1.198083067	0.91021928	1.413760603	0.485436893	0.213219616	325	1186	698	485	454	424
IL5RA_chr3_3133908	0	0.542849515	1.046846375	1.044568245	0.535895778	0.381480839	1921	4995	3113	2773	2269	2453
IL6R_chr1_154407058	0	0.501756147	1.698616841	1.438188494	0.438448567	0.262085032	3743	9787	6804	6296	4606	2574
IL6ST_chr5_55250639	0	4.347826087	1.162790698	5.172413793	2.777777778	4.597701149	3683	9962	6715	4380	5147	5054
INSR_chr19_7267659	0	0.064482848	0.058105752	0.056014564	0.039562179	0.023943493	3883	8993	6347	5994	4716	5295
INSRR_chr1_156823971	0.210674157	1.847256686	1.642475172	2.909298346	1.580381471	1.401869159	1557	3845	2721	2175	1994	2314
IRF4_chr6_393234	0	1.578400831	1.821983274	2.930914166	1.269265639	1.295133438	810	2046	1146	1164	866	1019
ITK_chr5_156649936	0	1.068812297	1.337568968	3.194103194	1.540866458	0.705429671	607	1380	769	612	766	797
ITPR1_chr3_4558211	0	0.641319285	0.507099391	0.721229225	0.935785737	0.391737892	1519	3756	2417	2122	1854	2345
ITPR2_chr12_26868276	0	2.472014925	2.659202239	3.846153846	0.743494424	0.898203593	7596	22474	15284	11488	10823	11534
JAK1_chr1_65349035	0.09596929	0.231687756	0.190579907	0.414540816	0.222799851	0.258684405	2328	5979	4121	3268	2965	3434
JAK2_chr9_5050686	0	0.570450656	0	0	1.242937853	0.596658711	143	299	172	116	180	174
JAK3_chr19_17955163	0	2.879243661	2.231404959	1.968988432	2.232269003	1.817956963	5554	15508	10326	7141	7583	8353
JAZF1_chr7_27934958	0	0.852064052	2.235318025	3.440586174	0.726459905	0.528211285	1424	3627	2618	1753	1835	1926
JUN_chr1_59248672	0	1.210653753	1.412872841	1.792828685	1.781170483	2.409638554	1778	4815	3348	2866	2206	2548
KAT6B_chr10_76603112	0	0.971884762	1.988636364	3.054367746	0.356633381	0.729040097	3328	8327	5981	4477	4478	4678
KCNA1_chr12_5021146	0	6.160204684	3.704643492	4.616344354	3.705991353	4.347826087	2149	6549	3944	3189	3099	2808
KCNA10_chr1_111061254	0	0.73024055	1.609164053	2.609199845	0.491214812	0.642108821	828	2144	1429	1118	1076	1002
KCNA2_chr1_111146773	0	0.287528453	0.135030864	0.501981506	0.156087409	0.17369727	2084	5611	3673	3136	2693	2706
KCNA3_chr1_111217259	0	3.368977808	1.652892562	2.811839323	1.837596225	2.170736798	646	1753	1158	1033	885	838
KCNA4_chr11_30033697	0	0.950226244	0.48768593	1.296946771	0.43638805	0.640279395	5441	13962	9680	8126	7078	8086
KCNA5_chr12_5153344	0	0.440528634	0.398839739	0.241545894	0.158646219	0.321987121	3005	6807	4921	3139	3579	4165
KCNA7_chr19_49575785	0.03104144	1.066649428	1.104240283	3.267519466	0.722661576	0.850253807	307	826	637	502	393	498
KCNAB1_chr3_156009801	0.141442716	0.2672148	0.452803901	1.012066952	0.267498885	0.487156776	1338	2881	2112	1637	1402	1646
KCNAB2_chr1_6111607	0.028551035	0.785519126	0.912008107	1.734661099	0.844475721	0.881237832	2279	5081	3941	3206	3238	3220
KCNAB3_chr17_7832709	0	1.023204824	2.069367531	3.692870201	0.477239354	0.781983109	4050	11640	7333	5174	5293	5918
KCNB1_chr20_48098992	0	0.63944909	1.56128025	2.012248469	1.935483871	1.037735849	2639	8347	5184	3785	3844	4030
KCNB2_chr8_73479985	0	2.723198897	3.313927452	4.5	3.40651022	2.819148936	3928	8697	6413	4730	4027	4791
KCNC1_chr11_17757555	0.074101519	0.550747443	1.266519824	1.247002398	0.498034076	0.21256495	2085	6630	4101	3701	2979	3436
KCNC2_chr12_75601456	0	1.659292035	1.413793103	3.601694915	0.85778781	0.694176629	1493	4086	2758	1656	1891	2174
KCNC4_chr1_110754776	0	3.32594235	3.678929766	4.481792717	6.32183908	1.503759399	32	82	63	66	56	45
KCND1_chrX_48826293	0.052210233	0.673769076	0.732789762	1.108003442	0.586300586	0.542814493	6443	15469	11320	7192	7334	7880
KCND2_chr7_119914717	0	0.330568578	0.455940377	0.808202654	0.31483209	0.240779249	1414	4865	2871	2569	2243	2258
KCND3_chr1_112525066	0	1.895877219	1.003525902	1.412103746	0.79496522	0.932176149	7005	17568	11842	9339	8526	9759
KCNE1_chr21_35821905	0	0.415911988	0.638582758	0.481289857	0.373599004	0.41862899	1841	5473	3431	2735	2724	3197
KCNE1L_chrX_108868186	0	3.073354596	2.871754524	3.470368393	1.719197708	1.784776903	795	2033	1281	1143	1085	1060
KCNE3_chr11_74168576	0	0.326797386	1.996927803	5.319148936	0	0	1345	2901	2233	2000	1321	1880
KCNE4_chr2_223917928	0	0.282192804	0.639016156	1.241260115	0.174947516	0.246609125	2699	7626	5448	4170	3815	4234
KCNF1_chr2_11052643	0	2.536605486	1.088110403	2.885936784	1.936954045	1.652209831	1778	4520	2900	1888	2215	2593
KCNG1_chr20_49626750	0	0.991786766	1.441812564	2.953020134	0.610169492	0.459558824	169	451	299	357	174	266
KCNG2_chr18_77623892	0	0.587774295	0.4048583	0.5513639	0.434362934	0.395624855	5746	17365	9689	9296	6993	7369
KCNG3_chr2_42720567	0	0.537403267	0.649806814	1.306103063	0.875979714	0.401516841	6591	16638	11405	8290	8576	9137
KCNG4_chr16_84270956	0.086095566	0.307298335	0.448517941	0.56372549	0.086555107	0.5143277	1928	6646	3687	3470	3019	3111
KCNH1_chr1_211192482	0	3.401360544	2.157497303	5.046480744	2.590673575	3.68	5740	14907	9709	8311	7227	7644
KCNH2_chr7_150672006	0	1.138811942	0.575730735	1.064162754	0.927109974	0.609933198	1384	3449	2542	1873	1745	1905
KCNH3_chr12_49933248	0	2.018466824	1.96445276	3.716075157	1.526717557	2.159590044	467	1224	651	376	560	465
KCNH4_chr17_40332939	0	0.973257343	1.185770751	1.729234407	0.620997477	0.839875844	9234	24097	16588	12729	11432	12976
KCNH5_chr14_63453877	0	0.311769291	0.366748166	0.287356322	0	0	2126	4849	3768	2183	2633	2421
KCNH6_chr17_61601636	0	0.324832097	0.433081866	1.08040201	0.301067421	0.2161321	2084	6453	3884	2980	2950	3264
KCNH7_chr2_163374306	0	0.116654702	0.197394394	0.318578135	0.089285714	0.185563184	3107	7656	4940	3446	4144	4297
KCNH8_chr3_19389364	0	0.039666799	0.064655172	0.095541401	0.156838143	0.206428782	3300	9304	5694	4211	4338	4483
KCNJ1_chr11_128712280	0	2.44100895	1.067615658	4.026845638	2.119460501	1.33809099	2323	7810	5128	4080	3466	4083
KCNJ10_chr1_160012070	0	0.646305918	1.239913403	1.496081691	0.79122001	0.610021786	657	1470	927	753	772	625
KCNJ11_chr11_17409608	0	2.310453118	3.784100909	5.846007605	2.129767211	1.355625847	2542	6498	4516	3195	3128	3443
KCNJ12_chr17_21318738	0	0.995732575	1.185344828	2.622424405	0.824985268	1.04	1875	4657	3207	2395	2096	2732
KCNJ13_chr2_233635910	0	0.837742504	1.642335766	6.008583691	0.528634361	0.722673893	4022	11405	7084	6766	5153	5477
KCNJ14_chr19_48965061	0	0.376834589	0.276540175	0.584138396	0.221818915	0.390866077	384	1283	818	696	648	738
KCNJ15_chr21_39671386	0	0.476947536	0.778050778	2.06596593	0.673309992	0.558035714	8096	22781	14316	11940	10961	11567
KCNJ16_chr17_68128764	0	0.322407308	0.55448923	0.650195059	0.261020882	0.053022269	3953	11144	7599	5964	5600	5389
KCNJ2_chr17_68171534	0	2.596741344	0.941780822	0.371057514	1.385927505	1.024208566	2591	7563	4640	3140	3188	3391
KCNJ3_chr2_155555402	0	0.151196976	0.18464785	0.318204656	0.190179806	0.097799511	771	2458	1405	1341	1038	1121
KCNJ4_chr22_38824115	0	1.691331924	1.062639821	2.072141213	0.751252087	1.103565365	3108	7891	5081	4211	3918	4590
KCNJ5_chr11_128781276	0	1.042128603	1.455230269	2.675873975	0.992779783	1.124765674	1310	4458	3409	2104	2019	2213
KCNJ6_chr21_39087317	0	0.305235971	1.398852224	1.633605601	0.500682749	0.776778414	2651	7030	4640	3737	3394	3750
KCNJ9_chr1_160053937	0.203311066	2.478460994	2.266736953	3.873892438	3.4491254	2.238484718	820	2268	1096	699	1135	1107
KCNK1_chr1_233750169	0	1.714368735	2.345392189	5.202467149	1.36065061	1.599634369	3679	10084	6509	4451	4959	4861
KCNK12_chr2_47797356	0	1.352634077	2.094679514	5.794504182	0.622083981	0.810372771	2694	6919	4884	2759	3713	3584
KCNK13_chr14_90528597	0	0.283904783	0.200586329	0.483091787	0.111507583	0.206483585	2601	7444	4689	3845	3448	3772
KCNK15_chr20_43374676	0.141509434	0.293164635	0.347567031	0.23879013	0.278648555	0.234348845	753	1964	1168	1078	938	1074
KCNK17_chr6_39282072	0	0.503566932	0.590318772	2.168473728	0.805008945	0.688599847	3955	11905	7582	5971	5784	6135
KCNK2_chr1_215256735	0.041347943	2.138182925	1.876793994	5.55063478	1.581160639	1.449925262	760	2365	1788	1303	1198	1178
KCNK3_chr2_26915749	0	1.020408163	1.026392962	6.295993459	0.798175599	0.56542811	3504	9020	5841	4634	4432	4801
KCNK4_chr11_64060637	0	1.801080648	3.211009174	5.129348796	0.947459087	0.600085727	3113	8518	5576	4285	4394	4892
KCNK6_chr19_38810619	0.455580866	0.575143786	0.79491256	1.416430595	0.516917293	0.57591623	3443	8473	5691	4853	4059	4646
KCNK7_chr11_65363212	0	1.075811061	1.351015334	2.838132862	0.798846111	0.523345305	5457	13766	9039	7458	6394	6564
KCNK9_chr8_140715142	0	0.324356202	0.309405941	1.407588739	0.348503485	0.362803132	1591	4214	2387	1674	1929	2468
KCNMA1_chr10_79397184	0	0.383386581	0.714285714	2.03562341	0.622665006	0.97799511	3197	9158	6481	4761	4484	4843
KCNMB1_chr5_169810731	0	0.922045264	0.564573042	1.034675615	0.719729043	0.324763194	2120	6481	4028	3769	2871	2987
KCNMB2_chr3_178525211	0	0.960087779	2.262345008	3.244374673	0.704423781	0.394996708	859	2383	1694	1199	1118	1307
KCNMB4_chr12_70760526	0	0.728793309	0.685518423	1.79800222	0.290768112	0.416171225	4837	13142	9058	6774	5945	6690
KCNN1_chr19_18084757	0	0.334368283	1.55210643	1.038225578	0.297029703	0.214408233	877	2058	1364	1223	877	1238
KCNN2_chr5_113698509	0	3.808717732	2.229169498	2.146788991	2.974530582	3.371378402	1925	4997	3052	2242	2322	2333
KCNN3_chr1_154842175	0	0.507982583	1.57453363	2.428571429	0.504551936	0.269676388	1317	3999	2516	2118	2128	1910
KCNN4_chr19_44284956	0.059559261	2.586534804	1.594696291	2.914595572	2.21034734	1.561831408	7368	17847	12065	9619	9013	9745
KCNQ1_chr11_2466578	0	0.116795141	0.231660232	0	0.378583018	0.192864031	3849	10174	6464	4902	4878	5237
KCNQ2_chr20_62103794	0	0.956399437	1.97177252	4.056902002	0.990916598	1.091877497	615	1565	1120	786	803	818
KCNQ3_chr8_133492651	0	1.249458327	0.759675598	3.004919559	0.889012363	0.7963897	2219	4772	4251	3576	2362	3695
KCNQ4_chr1_41249989	0	4.166009153	1.892285298	3.731145806	3.62221626	3.642802934	2871	7291	4597	3822	3549	3038
KCNQ5_chr6_73332072	0	3.234802008	3.641092328	6.777893639	2.810180276	3.29787234	3306	8370	5835	4505	4127	5046
KCNS1_chr20_43727301	0.052273915	0.162899613	0.273018264	0.06989097	0.23425658	0.208659364	1528	4187	2706	2119	2020	2332
KCNS2_chr8_99440255	0	2.976774616	2.003673401	2.47573777	1.53771052	2.012882448	4424	11815	7357	5450	5379	5695
KCNS3_chr2_18112557	0	1.177929324	0.887228578	1.375475563	0.673606859	0.442869796	6888	17914	11686	9800	9117	10012
KCNT1_chr9_138641962	0	2.163110202	2.344894968	4.632426989	3.039073806	1.988304094	3358	7887	5581	4426	4117	4674
KCNU1_chr8_36644831	0	0.137698898	0.619732276	0.805970149	0.37037037	0.563100364	1465	4281	2590	2099	1849	2074
KCNV1_chr8_110986482	0	1.858836207	2.142583854	3.628002044	1.622311338	1.773913043	2799	7110	4818	3796	3633	3755
